id;domain_list
187377;Strategy Games
137649;Strategy Games
137649;Thematic Games
22141;Family Games
22141;Strategy Games
173101;Strategy Games
171879;Strategy Games
1115;Strategy Games
353545;Family Games
527;Abstract Games
300753;Party Games
256606;Family Games
121297;Strategy Games
230085;Strategy Games
180899;Strategy Games
281194;Family Games
233961;Family Games
343562;Strategy Games
30381;Strategy Games
43443;Family Games
152470;Strategy Games
102548;Party Games
126100;Thematic Games
204836;Family Games
174660;Family Games
16395;Abstract Games
192074;Family Games
35815;Thematic Games
123955;Wargames
247236;Strategy Games
91873;Strategy Games
253608;Strategy Games
42910;Strategy Games
147303;Family Games
159504;Thematic Games
302098;
325022;Strategy Games
66837;Strategy Games
282954;Family Games
282954;Strategy Games
50768;Strategy Games
271319;Family Games
25643;Strategy Games
154386;Family Games
19100;Strategy Games
226518;Family Games
218421;Thematic Games
104347;Family Games
104347;Strategy Games
299317;
240855;Strategy Games
188547;Thematic Games
164338;Strategy Games
177802;Family Games
177802;Strategy Games
242722;Wargames
42452;Family Games
42452;Strategy Games
38159;Party Games
12995;Strategy Games
39953;Customizable Games
39953;Strategy Games
855;Strategy Games
238638;Strategy Games
